login,description,nom,organisation_url,avatar_url,site_web,adresse,email,est_verifiee,nombre_repertoires,date_creation,plateforme
numerique-gouv,,,https://github.com/numerique-gouv,https://avatars1.githubusercontent.com/u/43571069?v=4,,,,False,2,2018-09-25T10:14:06Z,GitHub
IGNF,,Institut National de l'Information Géographique et Forestière,https://github.com/IGNF,https://avatars0.githubusercontent.com/u/7152524?v=4,http://www.ign.fr,,,False,54,2014-04-03T16:36:07Z,GitHub
entrepreneur-interet-general,Code développé dans le cadre des défis EIG,Entrepreneurs d’intérêt général,https://github.com/entrepreneur-interet-general,https://avatars2.githubusercontent.com/u/25084749?v=4,https://entrepreneur-interet-general.etalab.gouv.fr,"Paris, France",entrepreneur-interet-general@data.gouv.fr,True,81,2017-01-12T16:54:14Z,GitHub
Irstea,Institut national de recherche en sciences et technologies pour l'environnement et l'agriculture,Irstea,https://github.com/Irstea,https://avatars3.githubusercontent.com/u/17542483?v=4,https://www.irstea.fr/,France,,False,18,2016-02-29T08:44:59Z,GitHub
e-carre,Creation d'un environnement collaboratif d'accompagnement pour les plateformes territoriales,e-carre,https://gitlab.adullact.net/groups/e-carre,https://gitlab.adullact.net/uploads/-/system/group/avatar/2009/e-carre.png,,,,,1,,GitLab
clipos,"CLIP OS version 5, published by @ANSSI-FR ",CLIP OS,https://github.com/clipos,https://avatars1.githubusercontent.com/u/33755864?v=4,https://clip-os.org,"Paris, France",clipos@ssi.gouv.fr,True,22,2017-11-17T14:32:48Z,GitHub
DREAL-NA,"Direction régionale de l'environnement, de l'aménagement et du logement de Nouvelle-Aquitaine",DREAL Nouvelle-Aquitaine,https://github.com/DREAL-NA,https://avatars1.githubusercontent.com/u/45490203?v=4,http://www.nouvelle-aquitaine.developpement-durable.gouv.fr,Nouvelle-Aquitaine,,False,1,2018-11-30T14:03:05Z,GitHub
SimPLU3D,Building simulation with optimization methods from urban regulation,SimPLU3D,https://github.com/SimPLU3D,https://avatars3.githubusercontent.com/u/36670327?v=4,http://SimPLU3D.github.io,,,False,16,2018-02-20T15:31:43Z,GitHub
INSIDE-information-systems,"French joint research center between BRGM, French Biodiversity Agency, IFREMER, MNHN",INSIDE - environmental information systems research center,https://github.com/INSIDE-information-systems,https://avatars0.githubusercontent.com/u/40667762?v=4,http://www.pole-inside.fr,,,False,9,2018-06-28T14:34:48Z,GitHub
polewebmaedi,,Pôle Web | MAEDI DCP,https://github.com/polewebmaedi,https://avatars0.githubusercontent.com/u/10907742?v=4,http://www.diplomatie.gouv.fr/,"Quai d'Orsay, Paris, France",quentin.drouet@diplomatie.gouv.fr,False,4,2015-02-08T11:49:13Z,GitHub
CCSDForge,,CCSD,https://github.com/CCSDForge,https://avatars2.githubusercontent.com/u/11413818?v=4,http://ccsd.cnrs.fr,France,ccsd@ccsd.cnrs.fr,False,3,2015-03-10T20:19:03Z,GitHub
nanterre,Applications citoyennes open source au service de la ville participative,Ville de Nanterre,https://github.com/nanterre,https://avatars3.githubusercontent.com/u/12966566?v=4,http://www.nanterre.fr,Nanterre,agora@mairie-nanterre.fr,False,8,2015-06-19T12:15:20Z,GitHub
DREES_code,Dépôts de code de la DREES ,DREES,https://gitlab.com/groups/DREES_code,https://assets.gitlab-static.net/uploads/-/system/group/avatar/2678789/logo_drees.jpg,,,,,1,,GitLab
cw-leia,LEIA: the Lab Embedded ISO7816 Analyzer A Custom Smartcard Reader for the ChipWhisperer by @ANSSI-FR,LEIA,https://github.com/cw-leia,https://avatars2.githubusercontent.com/u/51098948?v=4,,,,False,4,2019-05-27T22:12:30Z,GitHub
OpenCTI-Platform,"Open Cyber Threat Intelligence Platform, supported by @ANSSI-FR, @certeu and @LuatixHQ.",OpenCTI Platform,https://github.com/OpenCTI-Platform,https://avatars3.githubusercontent.com/u/51881218?v=4,https://www.opencti.io,France,contacŧ@opencti.io,False,6,2019-06-16T13:12:38Z,GitHub
erasme,Service usages numériques de la Métropole de Lyon,Erasme,https://github.com/erasme,https://avatars2.githubusercontent.com/u/204704?v=4,http://www.erasme.org,"208 Bis Rue Garibaldi, Lyon, Rhône, France",,False,49,2010-02-16T16:27:05Z,GitHub
SocialGouv,Incubateur des Ministères Sociaux,Incubateur des Ministères Sociaux,https://github.com/SocialGouv,https://avatars3.githubusercontent.com/u/35456799?v=4,https://incubateur.social.gouv.fr,Paris,dsi-incubateur@sg.social.gouv.fr,False,79,2018-01-15T13:33:35Z,GitHub
meteofrance,,Météo-France GitHub Organization,https://github.com/meteofrance,https://avatars3.githubusercontent.com/u/47791234?v=4,https://meteofrance.github.io/,,,False,2,2019-02-19T17:41:50Z,GitHub
CEA-Leti,Center for Research and Specialized Technology in micro and nanotechnologies,CEA-Leti,https://github.com/CEA-Leti,https://avatars0.githubusercontent.com/u/40635112?v=4,http://www.leti-cea.com/cea-tech/leti/english/Pages/Welcome.aspx,"Grenoble, France",,False,1,2018-06-27T13:48:00Z,GitHub
observatoire-territoires,,Observatoire des territoires - CGET,https://github.com/observatoire-territoires,https://avatars1.githubusercontent.com/u/33053387?v=4,http://www.observatoire-des-territoires.gouv.fr,,,False,9,2017-10-24T08:10:47Z,GitHub
clipos-archive,"CLIP OS version 4, published by @ANSSI-FR ",CLIP OS - Archive,https://github.com/clipos-archive,https://avatars2.githubusercontent.com/u/38976783?v=4,https://clip-os.org,"Paris, France",clipos@ssi.gouv.fr,True,106,2018-05-04T09:27:14Z,GitHub
LemonLDAPNG,"WebSSO, Access Control and Identity Federation free software",LemonLDAP::NG,https://github.com/LemonLDAPNG,https://avatars2.githubusercontent.com/u/24453394?v=4,https://lemonldap-ng.org,,lemonldap-ng-users@ow2.org,False,15,2016-12-08T10:14:18Z,GitHub
lemonldap-ng,"LemonLDAP::NG is a free single sign-on, access management and identity federation software",LemonLDAP NG,https://gitlab.ow2.org/groups/lemonldap-ng,https://gitlab.ow2.org/uploads/-/system/group/avatar/34/llng_logo_square.png,,,,,2,,GitLab
CEREMA,,CEREMA,https://github.com/CEREMA,https://avatars2.githubusercontent.com/u/5927912?v=4,,,,False,51,2013-11-13T09:51:42Z,GitHub
unistra,,Université de Strasbourg,https://github.com/unistra,https://avatars0.githubusercontent.com/u/1830566?v=4,https://unistra.fr,France,,True,64,2012-06-08T12:42:24Z,GitHub
ambanum,French Ambassador for Digital Affairs / Ambassadeur pour le numérique,AmbaNum,https://github.com/ambanum,https://avatars1.githubusercontent.com/u/49390874?v=4,https://diplomatie.gouv.fr/fr/politique-etrangere-de-la-france/diplomatie-numerique/,France,,False,18,2019-04-08T07:55:00Z,GitHub
geodatagouv,,geo.data.gouv.fr,https://github.com/geodatagouv,https://avatars0.githubusercontent.com/u/22120797?v=4,https://geo.data.gouv.fr,France,geo@data.gouv.fr,False,11,2016-09-10T18:04:33Z,GitHub
datalocale,Contributions du département de la Gironde aux données et codes ouverts,portail de données ouvertes datalocale.fr,https://github.com/datalocale,https://avatars2.githubusercontent.com/u/1333196?v=4,http://datalocale.fr,"Bordeaux, Gironde, France",datalocale@gironde.fr,False,37,2012-01-16T09:14:12Z,GitHub
etalab,,etalab,https://framagit.org/groups/etalab,https://framagit.org/uploads/-/system/group/avatar/682/etalab.png,,,,,31,,GitLab
socio-connect,,socio-connect,https://gitlab.adullact.net/groups/socio-connect,https://gitlab.adullact.net/uploads/-/system/group/avatar/2449/logo-socio-connect06.png,,,,,2,,GitLab
eole,Pôle logiciels libres du Ministère français de l’Éducation nationale,EOLE Team,https://github.com/eole,https://avatars3.githubusercontent.com/u/6362595?v=4,http://pcll.ac-dijon.fr/,Dijon - France,eole-team@ac-dijon.fr,False,16,2014-01-09T19:26:46Z,GitHub
GendarmerieNationale,,Gendarmerie nationale,https://github.com/GendarmerieNationale,https://avatars1.githubusercontent.com/u/14325754?v=4,http://www.gendarmerie.interieur.gouv.fr,,,False,7,2015-09-17T06:21:20Z,GitHub
SocieteNumerique,Mission Société Numérique - Agence du Numérique - République Française,Société Numérique,https://github.com/SocieteNumerique,https://avatars3.githubusercontent.com/u/31274833?v=4,https://www.societenumerique.gouv.fr,"Paris, France",societe.numerique@finances.gouv.fr,False,11,2017-08-23T09:30:29Z,GitHub
micmacIGN,,,https://github.com/micmacIGN,https://avatars2.githubusercontent.com/u/23313230?v=4,,,,False,5,2016-11-07T12:47:54Z,GitHub
OpenEdition,Plateforme de publication en sciences humaines et sociales,OpenEdition,https://github.com/OpenEdition,https://avatars0.githubusercontent.com/u/6151903?v=4,https://www.openedition.org,,,False,16,2013-12-10T13:09:15Z,GitHub
openfisca,Turn law into software.,OpenFisca,https://github.com/openfisca,https://avatars0.githubusercontent.com/u/1794404?v=4,https://openfisca.org/en/,France and beyond,contact@openfisca.org,False,63,2012-05-30T16:38:06Z,GitHub
dreal-datalab,"Les projets du DREAL datalab Pays de la Loire, laboratoire d'innovation sur la donnée de la DREAL",DREAL datalab Pays de la Loire,https://gitlab.com/groups/dreal-datalab,https://assets.gitlab-static.net/uploads/-/system/group/avatar/5081776/Logo_datalab.jpg,,,,,9,,GitLab
departements-notaires,Départements et Notaires est un extranet permettant d'apporter une réponse en temps réel aux études notariales chargées d’une succession s'interrogeant sur l'existence éventuelle d'une créance du Département au titre de l'aide sociale.,Départements-Notaires,https://gitlab.adullact.net/groups/departements-notaires,https://gitlab.adullact.net/uploads/-/system/group/avatar/743/picto_plume.jpg,,,,,1,,GitLab
